year,income,pct_public_threshold_nmr,pct_abuja_mmr
2000,High,0.0,0.0
2000,Low,0.0,0.0
2000,Lower-middle,0.0,0.0
2000,Upper-middle,0.0,0.0
2001,High,0.0,0.0
2001,Low,0.0,0.0
2001,Lower-middle,0.0,0.0
2001,Upper-middle,0.0,0.0
2002,High,0.0,0.0
2002,Low,0.0,0.0
2002,Lower-middle,0.0,0.0
2002,Upper-middle,0.0,0.0
2003,High,0.0,0.0
2003,Low,0.0,0.0
2003,Lower-middle,0.0,0.0
2003,Upper-middle,0.0,0.0
2004,High,0.0,0.0
2004,Low,0.0,0.0
2004,Lower-middle,0.0,0.0
2004,Upper-middle,0.0,0.0
2005,High,0.0,0.0
2005,Low,0.0,0.0
2005,Lower-middle,0.0,0.0
2005,Upper-middle,0.0,0.0
2006,High,0.0,0.0
2006,Low,0.0,0.0
2006,Lower-middle,0.0,0.0
2006,Upper-middle,0.0,0.0
2007,High,0.0,0.0
2007,Low,0.0,0.0
2007,Lower-middle,0.0,0.0
2007,Upper-middle,0.0,0.0
2008,High,0.0,0.0
2008,Low,0.0,0.0
2008,Lower-middle,0.0,0.0
2008,Upper-middle,0.0,0.0
2009,High,0.0,0.0
2009,Low,0.0,0.0
2009,Lower-middle,0.0,0.0
2009,Upper-middle,0.0,0.0
2010,High,0.0,0.0
2010,Low,0.0,0.0
2010,Lower-middle,0.0,0.0
2010,Upper-middle,0.0,0.0
2011,High,0.0,0.0
2011,Low,0.0,0.0
2011,Lower-middle,0.0,0.0
2011,Upper-middle,0.0,0.0
2012,High,0.0,0.0
2012,Low,0.0,0.0
2012,Lower-middle,0.0,0.0
2012,Upper-middle,0.0,0.0
2013,High,0.0,0.0
2013,Low,0.0,0.0
2013,Lower-middle,0.0,0.0
2013,Upper-middle,0.0,0.0
2014,High,0.0,0.0
2014,Low,0.0,0.0
2014,Lower-middle,0.0,0.0
2014,Upper-middle,0.0,0.0
2015,High,0.0,0.0
2015,Low,0.0,0.0
2015,Lower-middle,0.0,0.0
2015,Upper-middle,0.0,0.0
2016,High,0.0,0.0
2016,Low,0.0,0.0
2016,Lower-middle,0.0,0.0
2016,Upper-middle,0.0,0.0
2017,High,0.0,0.0
2017,Low,0.0,0.0
2017,Lower-middle,0.0,0.0
2017,Upper-middle,0.0,0.0
2018,High,0.0,0.0
2018,Low,0.0,0.0
2018,Lower-middle,0.0,0.0
2018,Upper-middle,0.0,0.0
2019,High,0.0,0.0
2019,Low,0.0,0.0
2019,Lower-middle,0.0,0.0
2019,Upper-middle,0.0,0.0
2020,High,0.0,0.0
2020,Low,0.0,0.0
2020,Lower-middle,0.0,0.0
2020,Upper-middle,0.0,0.0
2021,High,0.0,0.0
2021,Low,0.0,0.0
2021,Lower-middle,4.3478260869565215,0.0
2021,Upper-middle,0.0,0.0
2022,High,0.0,0.0
2022,Low,0.0,0.0
2022,Lower-middle,4.3478260869565215,4.3478260869565215
2022,Upper-middle,0.0,0.0
2023,High,0.0,0.0
2023,Low,0.0,0.0
2023,Lower-middle,8.695652173913043,0.0
2023,Upper-middle,0.0,0.0
